Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	seahorse.log	128	4	0.01089	0.00109	31.22	2.867	72,027,176	78,423,348	0	1	0
mandelbrot_pth	seahorse.log	128	8	0.008665	0.000434	41.22	4.757	72,175,305	78,708,253	0	1	0
mandelbrot_pth	seahorse.log	128	16	0.006245	0.000364	44.16	7.072	77,694,030	79,289,014	0	1	0
mandelbrot_pth	seahorse.log	128	32	0.004678	0.000176	42.08	8.995	93,658,277	80,799,094	0	1	0
mandelbrot_pth	seahorse.log	256	1	0.10509	0.00589	104.52	0.995	284,336,445	314,585,838	0	1	0
mandelbrot_pth	seahorse.log	256	2	0.06362	0.00502	109.01	1.714	281,730,275	313,330,238	0	1	0
mandelbrot_pth	seahorse.log	256	4	0.03429	0.00108	109.09	3.181	277,746,951	323,220,945	0	1	0
mandelbrot_pth	seahorse.log	256	8	0.02386	0.0012	127.66	5.352	281,268,889	320,945,776	0	1	0
mandelbrot_pth	seahorse.log	256	16	0.01504	0.00107	125.06	8.313	291,641,243	311,576,810	0	1	0
mandelbrot_pth	seahorse.log	256	32	0.012068	0.000559	149.36	12.376	352,038,842	313,212,818	0	1	0
mandelbrot_pth	seahorse.log	512	1	0.5229	0.0386	522.27	0.999	1,137,714,324	1,234,066,481	0	1	0
mandelbrot_pth	seahorse.log	512	2	0.21339	0.00204	365.4	1.712	1,134,516,936	1,239,806,858	0	1	0
mandelbrot_pth	seahorse.log	512	4	0.13686	0.00922	424.14	3.099	1,141,964,325	1,231,833,884	0	1	0
mandelbrot_pth	seahorse.log	512	8	0.07951	0.00708	448.67	5.643	1,141,819,020	1,234,566,179	0	1	0
mandelbrot_pth	seahorse.log	512	16	0.048575	0.000841	444.3	9.147	1,149,280,138	1,264,278,657	0	1	0
mandelbrot_pth	seahorse.log	512	32	0.035272	0.000315	500.72	14.196	1,389,538,853	1,269,356,775	0	1	0
mandelbrot_pth	seahorse.log	1024	1	1.5636	0.0491	1,563.13	1	4,563,846,185	4,958,515,016	0	1	0
mandelbrot_pth	seahorse.log	1024	2	1.0057	0.0499	1,764.61	1.755	4,564,562,342	4,958,197,827	0	1	0
mandelbrot_pth	seahorse.log	1024	4	0.4844	0.023	1,508.46	3.114	4,549,234,554	4,939,632,776	0	1	0
mandelbrot_pth	seahorse.log	1024	8	0.3144	0.0234	1,683.34	5.354	4,559,019,947	4,945,288,880	0	1	0
mandelbrot_pth	seahorse.log	1024	16	0.1995	0.0112	1,723.60	8.638	4,653,418,811	4,942,794,374	0	1	0
mandelbrot_pth	seahorse.log	1024	32	0.13616	0.00472	1,968.80	14.46	5,590,741,572	4,958,683,416	0	1	0
mandelbrot_pth	seahorse.log	2048	1	5.999	0.0944	5,996.64	1	18,386,915,457	19,877,275,173	0	1	0
mandelbrot_pth	seahorse.log	2048	2	3.643	0.113	6,218.65	1.707	18,285,518,468	19,843,417,028	0	1	0
mandelbrot_pth	seahorse.log	2048	4	1.9763	0.0438	6,423.13	3.25	18,257,242,323	19,824,877,718	0	1	0
mandelbrot_pth	seahorse.log	2048	8	1.1202	0.0453	6,505.60	5.808	18,186,414,580	19,808,415,680	0	1	0
mandelbrot_pth	seahorse.log	2048	16	0.8927	0.0283	8,560.05	9.589	18,539,682,460	19,837,392,810	0	1	0
mandelbrot_pth	seahorse.log	2048	32	0.575	0.0248	8,759.42	15.234	22,367,506,571	19,790,415,900	0	1	0
mandelbrot_pth	seahorse.log	4096	1	22.7963	0.096	22,782.48	0.999	73,064,347,616	79,401,183,232	0	1	0
mandelbrot_pth	seahorse.log	4096	2	13.3986	0.0797	23,193.86	1.731	73,167,299,095	79,394,867,312	0	1	0
mandelbrot_pth	seahorse.log	4096	4	7.5343	0.0723	23,976.58	3.182	73,435,111,816	79,429,791,439	0	1	0
mandelbrot_pth	seahorse.log	4096	8	4.3991	0.0706	24,889.92	5.658	73,212,133,756	79,364,669,668	0	1	0
mandelbrot_pth	seahorse.log	4096	16	2.8687	0.0754	26,663.20	9.295	74,126,426,685	79,333,494,758	0	1	0
mandelbrot_pth	seahorse.log	4096	32	2.207	0.0408	34,986.23	15.852	89,480,907,664	79,310,713,990	0	1	0
mandelbrot_pth	seahorse.log	8192	1	89.7643	0.0917	89,742.70	1	292,762,998,181	317,920,754,438	0	1	0
mandelbrot_pth	seahorse.log	8192	2	52.622	0.155	91,155.03	1.732	293,793,643,457	318,184,440,087	0	1	0
mandelbrot_pth	seahorse.log	8192	4	29.259	0.107	93,248.85	3.187	293,585,218,759	318,024,401,654	0	1	0
mandelbrot_pth	seahorse.log	8192	8	16.8277	0.0606	96,444.57	5.731	293,988,863,736	317,708,915,356	0	1	0
mandelbrot_pth	seahorse.log	8192	16	10.4968	0.0688	101,587.35	9.678	297,473,889,582	317,347,702,795	0	1	0
mandelbrot_pth	seahorse.log	8192	32	7.766	0.12	125,906.53	16.213	359,119,082,730	317,229,632,289	0	1	0
